,n,k,pr
0,999,50,2.499845198206598e-11
1,999,49,4.1895138054584476e-11
2,999,48,7.022347727663869e-11
3,999,47,1.177235783550556e-10
4,999,46,1.9737826584134925e-10
5,999,45,3.309699461765138e-10
6,999,44,5.550403160406947e-10
7,999,43,9.30910121120849e-10
8,999,42,1.561431552062519e-09
9,999,41,2.619206361266776e-09
10,999,40,4.393860569515767e-09
11,999,39,7.371199859327222e-09
12,999,38,1.2366380060173889e-08
13,999,37,2.0746906451329512e-08
14,999,36,3.4806059284118584e-08
15,999,35,5.8390993268209235e-08
16,999,34,9.795156660801906e-08
17,999,33,1.6430355688808227e-07
18,999,32,2.755719442272382e-07
19,999,31,4.62128877359025e-07
20,999,30,7.748618431385814e-07
21,999,29,1.2989569751958737e-06
22,999,28,2.1770017812610705e-06
23,999,27,3.647595416565085e-06
24,999,26,6.1095941524261125e-06
25,999,25,1.0229385803346203e-05
26,999,24,1.7119692104554074e-05
27,999,23,2.8636562191568992e-05
28,999,22,4.787351364378862e-05
29,999,21,7.998011932271258e-05
30,999,20,0.0001335151668432681
31,999,19,0.00022269258784614736
32,999,18,0.0003710570024518218
33,999,17,0.0006175477070262038
34,999,16,0.0010264067279745336
35,999,15,0.0017033229931401207
36,999,14,0.0028215606568235394
37,999,13,0.0046640665155751404
38,999,12,0.0076904427737265755
39,999,11,0.01264288540259261
40,999,10,0.020710013127783394
41,999,9,0.03377579953937909
42,999,8,0.05478489912820565
43,999,7,0.08824779164893162
44,999,6,0.14087012919977965
45,999,5,0.22213950756324727
46,999,4,0.34426647382169434
47,999,3,0.5197991743741214
48,999,2,0.7502502502502504
49,999,1,1.0
